,Region,2021,2022,2023,2024,2025
0,AL & FL,701052,875823,759937,717490,614973
1,AR,1233808,1435231,1225895,1688820,1325464
2,AZ & NM,388411,387720,295857,332691,274166
3,CA,276752,323516,204183,285393,304939
4,GA,2893690,3382241,2568269,2569347,2401362
5,KS & OK,829675,463106,391126,510905,766468
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1110107,1264663,998777,1228515,911306
9,NC & VA,1045082,1325814,1066925,1166106,1010179
10,SC,405749,440620,324454,336482,291256
11,TN,1148914,1481363,1447962,1666709,980506
12,TX,8469696,3540536,3259555,5076112,6362754
