,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,626690
1,AR,1266671,1492763,1267096,1732728,1349099
2,AZ & NM,390822,394725,301914,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3168255,3590359,2743185,2853581,2604960
5,KS & OK,830901,494803,406675,541150,833312
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185675,1362465,1079069,1397700,1031909
9,NC & VA,1099182,1378660,1136386,1254382,1082892
10,SC,432911,458868,337992,361774,294777
11,TN,1192335,1546433,1598142,1786834,1079648
12,TX,8881378,3728665,3574084,5490975,7230366
