,Region,2021,2022,2023,2024,2025
0,AL & FL,728509,890208,777548,720843,626436
1,AR,1264921,1483857,1267026,1732392,1346066
2,AZ & NM,390657,394725,301648,337407,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3150616,3564771,2732741,2838257,2594356
5,KS & OK,830571,491201,406675,540974,830774
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1184243,1344798,1069302,1386443,1022010
9,NC & VA,1094503,1377805,1135377,1247875,1081552
10,SC,429240,457886,337909,360389,294689
11,TN,1187909,1536780,1587349,1761899,1067992
12,TX,8839793,3703339,3541459,5470415,7145977
