,Region,2021,2022,2023,2024,2025
0,AL & FL,696863,872314,758084,717226,610369
1,AR,1231456,1428005,1221780,1680759,1321438
2,AZ & NM,388270,386561,295460,332072,271106
3,CA,276743,323502,203899,285393,304939
4,GA,2852662,3362500,2549526,2537425,2378204
5,KS & OK,828628,457845,390598,507384,756189
6,LA,255930,414250,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1102059,1262830,980149,1211723,903365
9,NC & VA,1029767,1312383,1055757,1156396,993591
10,SC,403381,440446,322388,334567,291082
11,TN,1148677,1477420,1442581,1654686,974744
12,TX,8423983,3526528,3229723,5033669,6294884
