,Region,2021,2022,2023,2024,2025
0,AL & FL,245720,429831,402540,427145,341502
1,AR,663755,720410,822037,994410,886905
2,AZ & NM,75001,72872,59503,57435,43555
3,CA,136723,136016,74719,103233,103143
4,GA,731756,1204429,820149,754602,703876
5,KS & OK,242486,133743,160020,171933,178351
6,LA,211368,358046,232659,329640,220307
7,MO,147130,209004,212790,254097,181197
8,MS,586265,898206,782282,907576,611628
9,NC & VA,468539,600035,442554,441899,395921
10,SC,138552,164665,114147,133019,72730
11,TN,577614,696488,823022,950324,619414
12,TX,3437761,1832411,1828789,2421957,2571418
