,Region,2021,2022,2023,2024,2025
0,AL & FL,696688,869422,758084,717226,610369
1,AR,1231019,1426249,1216342,1674692,1320738
2,AZ & NM,388019,383128,295261,331570,271106
3,CA,276743,323477,203899,285393,304939
4,GA,2848448,3357578,2537568,2515836,2366968
5,KS & OK,828381,454774,390598,505714,752495
6,LA,255930,414167,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1100001,1262474,971366,1205884,898229
9,NC & VA,1027199,1307692,1042210,1147566,987567
10,SC,402343,440101,322388,333364,290736
11,TN,1148677,1474944,1435803,1644574,972774
12,TX,8417799,3518905,3203082,4999081,6263865
