,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889856,777548,720219,626436
1,AR,1263690,1475608,1266841,1729116,1340884
2,AZ & NM,390213,394725,301378,336203,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3110937,3527705,2715522,2785279,2571118
5,KS & OK,830571,486717,406330,540457,826764
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1180223,1323179,1042651,1358082,1010727
9,NC & VA,1085519,1367728,1129962,1236379,1075517
10,SC,425775,453735,337217,352514,293770
11,TN,1184062,1532009,1576040,1729143,1039139
12,TX,8782234,3662862,3505652,5413514,6982375
