,Region,2021,2022,2023,2024,2025
0,AL & FL,682044,864583,745143,716434,607806
1,AR,1214531,1396126,1189377,1647630,1316332
2,AZ & NM,380593,374859,290247,328267,266556
3,CA,276382,322925,203807,284928,304091
4,GA,2750137,3301571,2476348,2400065,2262473
5,KS & OK,808385,434911,390546,495680,707810
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1069235,1258503,943326,1186371,877375
9,NC & VA,986675,1282033,992921,1109426,943869
10,SC,397961,439407,319758,328135,286989
11,TN,1142291,1450145,1410698,1589557,946955
12,TX,8252151,3475258,3137604,4838531,6141069
