,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,717490,705962,71850,127657,272486,1142,626,717,274971
1,AR,1689417,1582512,536958,234688,836767,1790,1084,832,840473
2,AZ & NM,332691,328557,137024,32410,214938,4757,2600,552,222847
3,CA,285393,285393,134743,8323,163513,4584,2758,1212,172067
4,GA,2578464,1949408,161466,555134,1026515,10973,1432,2070,1040990
5,KS & OK,512312,425132,18042,83635,217142,792,833,446,219213
6,LA,379254,379254,58352,29801,103029,583,906,551,105069
7,MO,388113,388113,125383,39456,174290,69,247,250,174856
8,MS,1231536,1104890,386261,143610,628531,7780,2547,905,639763
9,NC & VA,1169183,997596,185834,159119,642960,7230,2357,1047,653594
10,SC,337347,320402,52759,69427,166755,685,199,370,168009
11,TN,1668072,1410498,697810,185234,993837,4042,880,2629,1001388
12,TX,5087557,4023762,375520,541100,1637193,30967,20718,21750,1710628
13,--TOTAL,16376829,13901479,2942002,2209594,7077956,75394,37187,33331,7223868
