,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,570387,568203,173763,96805,511930,3802,315,1104,517151
1,AR,1219790,1208859,1011493,110728,1139032,17760,163,1510,1158465
2,AZ & NM,148342,148342,79601,14810,146407,29637,2347,1668,180059
3,CA,230293,230293,178345,8139,219238,38454,3029,3365,264086
4,GA,1677254,1608796,370323,351604,1549531,44822,5087,2839,1602279
5,KS & OK,450343,447033,67791,46794,388881,1769,160,523,391333
6,LA,264248,264248,159734,45362,218872,803,114,1270,221059
7,MO,302203,302203,225363,25915,286052,3596,37,199,289884
8,MS,737435,698822,515497,103466,639093,11258,374,3024,653749
9,NC & VA,795364,785764,217984,142899,729233,26432,3101,2339,761105
10,SC,239059,237204,136467,27990,232254,3540,196,524,236514
11,TN,800370,782981,634254,64910,744640,38161,1423,1784,786008
12,TX,4617525,4398388,1530640,488234,3653434,178084,18580,38253,3888351
13,--TOTAL,12052613,11681136,5301255,1527656,10458597,398118,34926,58402,10950043
