,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,716786,705962,77012,134493,347453,1236,626,717,350032
1,AR,1656663,1582512,532552,264592,943657,2252,1980,832,948721
2,AZ & NM,330457,326323,128903,47686,233965,4945,2730,553,242193
3,CA,285359,285359,146183,13455,182790,5442,2795,1249,192276
4,GA,2451463,1949030,151623,649421,1244608,12559,1510,2081,1260758
5,KS & OK,498059,425128,21249,81369,258110,795,833,446,260184
6,LA,379254,379254,62735,42913,132666,589,906,551,134712
7,MO,388113,388113,125647,61944,210017,69,247,250,210583
8,MS,1194151,1104262,378481,158407,678507,7901,2727,905,690040
9,NC & VA,1128829,991225,169115,179205,717361,7736,2582,1050,728729
10,SC,330753,320402,46296,81778,196302,687,199,392,197580
11,TN,1620553,1406445,706645,219506,1103469,4596,880,2607,1111552
12,TX,4922123,4023402,354385,658786,1927848,35450,21740,22240,2007278
13,--TOTAL,15902563,13887417,2900826,2593555,8176753,84257,39755,33873,8334638
