,Region,2021,2022,2023,2024,2025
0,AL & FL,479893,652153,609354,600293,507642
1,AR,999924,1051061,1044820,1296407,1156944
2,AZ & NM,159043,144478,130034,124184,99088
3,CA,202889,221242,152586,184503,174928
4,GA,1466505,2074569,1515862,1358702,1297997
5,KS & OK,424158,265916,276023,308498,333898
6,LA,251240,393928,244245,370479,260361
7,MO,226485,306253,309369,332292,260306
8,MS,870416,1170608,909923,1097941,695857
9,NC & VA,783892,962029,768224,783365,696235
10,SC,240393,269852,211653,231474,176131
11,TN,931798,1074245,1139291,1284907,752733
12,TX,5221162,2623852,2632124,3389142,3791068
