,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,6312,36610,84833,827,304,1060,87024
1,AR,1349264,1240091,70114,145630,292342,3089,118,754,296303
2,AZ & NM,278895,271867,87937,6041,113932,6335,1521,1194,122982
3,CA,304939,304939,52777,22051,90802,18278,1936,1062,112078
4,GA,2634102,1798901,22693,131777,233910,14107,1338,2588,251943
5,KS & OK,836921,760012,12487,48333,91719,216,60,231,92226
6,LA,264630,264278,2044,12869,20691,274,105,542,21612
7,MO,320299,320299,33322,27930,77236,430,15,129,77810
8,MS,1060456,699823,24998,137724,229510,1514,375,1003,232402
9,NC & VA,1088007,836142,18438,86653,216996,4287,1724,1826,224833
10,SC,294777,275088,2825,18636,46910,331,164,445,47850
11,TN,1117039,850589,165306,101930,343622,7951,449,675,352697
12,TX,7431368,5208121,136489,329332,1205665,46755,15502,29839,1297761
13,--TOTAL,17612948,13429989,635742,1105516,3048168,104394,23611,41348,3217521
