,Region,2021,2022,2023,2024,2025
0,AL & FL,666982,837107,740848,696085,600575
1,AR,1177116,1312512,1139278,1610291,1263160
2,AZ & NM,322699,296353,260473,272217,224556
3,CA,271244,308965,200844,274177,267140
4,GA,2536671,3068260,2287146,2121248,1990990
5,KS & OK,730113,417662,382656,464523,603070
6,LA,255832,402477,244549,379220,264454
7,MO,315831,398195,382131,387289,320299
8,MS,1010780,1252199,930686,1155156,794139
9,NC & VA,957083,1223842,942797,1006919,870772
10,SC,388529,432030,312920,317372,278601
11,TN,1103197,1349550,1308044,1467296,851346
12,TX,7669222,3333901,3049524,4434157,5508463
