,Region,2021,2022,2023,2024,2025
0,AL & FL,342766,522366,484843,503224,413333
1,AR,832254,867341,928483,1122896,1001850
2,AZ & NM,104699,95645,82228,72269,58448
3,CA,159833,170588,109629,131213,124792
4,GA,997727,1535459,1088200,979895,916234
5,KS & OK,317567,186762,205156,219715,234618
6,LA,233066,380872,241513,347902,238688
7,MO,179023,248997,252333,291216,211084
8,MS,730384,1035661,855940,1004159,649568
9,NC & VA,604095,744192,587659,576744,508764
10,SC,174875,206591,152716,170036,106226
11,TN,743759,859143,971993,1100939,677356
12,TX,4180451,2154993,2168570,2765659,3037188
