,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889856,777548,720579,626436
1,AR,1263778,1476655,1266930,1730680,1341514
2,AZ & NM,390229,394725,301378,336203,276273
3,CA,276933,323517,204697,285457,304939
4,GA,3117621,3542051,2720299,2799900,2572491
5,KS & OK,830571,487858,406414,540974,826854
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1181211,1329994,1046806,1366584,1012053
9,NC & VA,1086228,1373622,1131802,1240190,1075682
10,SC,426393,455271,337561,356290,293770
11,TN,1184150,1532572,1580436,1734831,1044849
12,TX,8802450,3678545,3518973,5428225,7012033
