,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,587778,585241,181842,114871,490746,3097,315,1103,495261
1,AR,1250190,1231201,1002091,90913,1102886,13376,163,1510,1117935
2,AZ & NM,190119,190119,113032,19424,185102,29637,2259,1668,218666
3,CA,254515,254515,195603,11786,237079,35627,3029,3365,279100
4,GA,1870430,1745027,446921,473318,1614015,35623,5083,2833,1657554
5,KS & OK,545164,539669,79782,98117,463838,1600,151,523,466112
6,LA,264266,264266,146912,37484,195527,715,114,1270,197626
7,MO,320299,320299,252777,20007,289420,1745,37,198,291400
8,MS,771389,699796,517320,74087,607548,8761,371,2936,619616
9,NC & VA,845619,819378,213406,156286,721296,20863,2913,2129,747201
10,SC,267914,264915,154497,20996,247428,2199,196,524,250347
11,TN,831852,805713,678839,43784,736246,26182,1403,1782,765613
12,TX,5236070,4910818,1854961,579162,3983982,165559,18113,37667,4205321
13,--TOTAL,13235605,12630957,5837983,1740235,10875113,344984,34147,57508,11311752
