,Region,2021,2022,2023,2024,2025
0,AL & FL,724018,885021,770502,720219,622118
1,AR,1248134,1462585,1259998,1711692,1337134
2,AZ & NM,390122,393160,298170,334774,276273
3,CA,276752,323517,204597,285457,304939
4,GA,3017798,3458181,2637640,2696753,2496664
5,KS & OK,830533,475934,403196,536767,806219
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382310,388113,320299
8,MS,1159276,1296993,1032196,1283484,965027
9,NC & VA,1071287,1355402,1107288,1200879,1058419
10,SC,417054,447987,330184,343494,293067
11,TN,1168401,1521532,1522144,1703477,1005034
12,TX,8647294,3606445,3407438,5234357,6682877
