,Region,2021,2022,2023,2024,2025
0,AL & FL,352752,536379,494373,508908,418597
1,AR,850531,884273,939555,1125076,1013791
2,AZ & NM,110976,98025,91297,72400,58448
3,CA,165396,175068,116242,131662,128352
4,GA,1039857,1585746,1123170,993325,932728
5,KS & OK,325800,194952,212586,221385,237773
6,LA,237238,383409,242125,348181,240911
7,MO,182780,254272,257297,292040,214955
8,MS,753969,1042440,862897,1011818,652732
9,NC & VA,623495,765859,603531,587747,513104
10,SC,182495,211714,157893,172432,110687
11,TN,766131,883825,991661,1103575,684660
12,TX,4274343,2193061,2228884,2793877,3076912
