,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,70163,129349,325138,1947,307,1066,328458
1,AR,1318999,1240091,646029,203850,914163,8023,162,1501,923849
2,AZ & NM,267698,267698,120487,64504,225301,16522,1642,1666,245131
3,CA,304325,304325,187435,8003,228676,27209,2926,3335,262146
4,GA,2297861,1798153,232481,666680,1226732,29036,4963,2750,1263481
5,KS & OK,726084,695741,100714,165743,450119,910,139,505,451673
6,LA,264630,264278,77655,28660,118653,362,112,1242,120369
7,MO,320299,320299,116891,72822,220171,844,37,198,221250
8,MS,883550,699796,395104,85943,507517,3439,369,2746,514071
9,NC & VA,956003,833493,124304,190174,523321,12195,2673,1997,540186
10,SC,288380,274018,118079,40222,197471,1458,166,489,199584
11,TN,953926,850489,559103,115973,715359,14336,1405,1736,732836
12,TX,6179551,5191217,1156600,735902,3370506,115082,17668,32030,3535286
13,--TOTAL,15369288,13339414,3905045,2507825,9023127,231363,32569,51261,9338320
