,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,888976,777111,720219,626436
1,AR,1261758,1473439,1264286,1726167,1338556
2,AZ & NM,390213,393245,301378,336134,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3095748,3509103,2699511,2758832,2558864
5,KS & OK,830570,481543,406325,539669,825248
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1177052,1314378,1039445,1340123,1003540
9,NC & VA,1081947,1365292,1128128,1231776,1073887
10,SC,423555,452793,336747,350287,293682
11,TN,1180704,1530321,1566302,1719304,1024325
12,TX,8756230,3643560,3483101,5380278,6906453
