,Region,2021,2022,2023,2024,2025
0,AL & FL,717322,882735,769620,719602,619386
1,AR,1244748,1458880,1257486,1702316,1335250
2,AZ & NM,390032,390887,297571,334374,276273
3,CA,276752,323516,204497,285457,304939
4,GA,2991673,3434224,2618306,2657245,2468423
5,KS & OK,830199,473471,399866,532096,794872
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1150712,1287303,1024072,1258772,945350
9,NC & VA,1065739,1351634,1097034,1189767,1046916
10,SC,413776,445731,328442,340986,292300
11,TN,1159151,1514167,1506592,1697767,995759
12,TX,8585870,3590253,3382826,5181090,6588045
