,Region,2021,2022,2023,2024,2025
0,AL & FL,671365,850739,742178,701930,604207
1,AR,1187864,1338154,1149457,1620054,1275072
2,AZ & NM,342401,328008,271925,302579,236008
3,CA,271709,317438,202431,278959,282776
4,GA,2614216,3136825,2363131,2227136,2067168
5,KS & OK,754802,422715,388578,472155,643250
6,LA,255924,409954,244549,379254,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1022558,1254075,931834,1160201,813431
9,NC & VA,966268,1242255,948644,1028595,890189
10,SC,395832,436700,315342,322798,278777
11,TN,1116976,1371834,1345410,1501133,870059
12,TX,7881499,3388389,3072920,4561217,5760231
