,Region,2021,2022,2023,2024,2025
0,AL & FL,705777,877931,763008,718634,614973
1,AR,1235997,1441963,1229106,1690124,1328340
2,AZ & NM,388565,387988,296147,332691,274166
3,CA,276752,323516,204183,285393,304939
4,GA,2922743,3397818,2574604,2585648,2413359
5,KS & OK,829914,467410,392617,513368,771542
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1123291,1266594,1005074,1233213,915973
9,NC & VA,1057507,1331993,1075076,1171930,1017952
10,SC,406433,440886,324541,337696,291779
11,TN,1149090,1488875,1459704,1671328,983781
12,TX,8511174,3552438,3295446,5095242,6397897
