,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,22530,27073,85707,709,546,666,87628
1,AR,1736197,1582512,305026,88992,435190,1530,1069,781,438570
2,AZ & NM,339115,331915,121774,9832,160752,3950,2547,493,167742
3,CA,285457,285457,98451,4219,123084,4033,2745,1212,131074
4,GA,2880103,1949409,105724,153593,409672,10011,1256,1814,422753
5,KS & OK,541150,425132,5258,5704,31473,646,829,440,33388
6,LA,379254,379254,23261,12914,40248,299,825,549,41921
7,MO,388113,388113,63946,16592,84830,67,159,250,85306
8,MS,1413443,1104908,250210,123980,434573,6786,2381,904,444644
9,NC & VA,1264073,1002859,99816,87225,401529,4278,1712,1044,408563
10,SC,362918,321249,44835,27781,94151,382,194,333,95060
11,TN,1810911,1410500,296966,169629,610425,3184,768,2640,617017
12,TX,5545746,4025555,269981,149361,929308,23570,19789,21661,994328
13,--TOTAL,17667323,13913009,1707778,876895,3840942,59445,34820,32787,3967994
