,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,630021,599839,8245,46236,112559,827,304,1060,114750
1,AR,1349189,1240091,81530,215197,413204,3810,138,1154,418306
2,AZ & NM,277940,271867,97283,13983,133965,7393,1633,1641,144632
3,CA,304939,304939,75958,16385,110308,21086,1984,1062,134440
4,GA,2611970,1798901,28347,187687,346295,15874,2102,2659,366930
5,KS & OK,834728,760012,39256,86177,202138,337,126,239,202840
6,LA,264630,264278,4267,17446,29641,274,105,542,30562
7,MO,320299,320299,39963,37364,98170,430,15,129,98744
8,MS,1042831,699823,29916,179711,310337,1614,377,1089,313417
9,NC & VA,1084400,836142,22781,91203,275740,5501,2481,1874,285596
10,SC,294777,275088,3338,38612,74985,465,164,447,76061
11,TN,1096731,850589,196452,147470,447293,8817,516,763,457389
12,TX,7317227,5208121,229854,457969,1679922,61462,15739,29987,1787110
13,--TOTAL,17429682,13429989,857190,1535440,4234557,127890,25684,42646,4430777
