,Region,2021,2022,2023,2024,2025
0,AL & FL,645714,805337,728087,684978,582160
1,AR,1149917,1243918,1137203,1541132,1241415
2,AZ & NM,264875,248343,221610,218524,170235
3,CA,266253,288742,197224,255655,245366
4,GA,2288561,2846822,2136613,1955276,1804663
5,KS & OK,631042,384102,372649,434820,511949
6,LA,255733,398513,244549,379169,264248
7,MO,304091,391949,371565,378706,314403
8,MS,961439,1244956,930334,1144871,758331
9,NC & VA,939515,1189773,928161,983289,827147
10,SC,340880,389894,291260,301117,256614
11,TN,1069706,1298045,1271018,1426317,821425
12,TX,6955907,3195706,2993558,4209154,5042450
