,Region,2021,2022,2023,2024,2025
0,AL & FL,729473,890386,777724,720843,632169
1,AR,1267810,1499841,1268857,1739643,1349264
2,AZ & NM,390822,394725,302874,339115,278895
3,CA,276934,323517,204697,285457,304939
4,GA,3240558,3650373,2781699,2893061,2626568
5,KS & OK,865506,508635,406675,541150,835691
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1190157,1385352,1084960,1425437,1050738
9,NC & VA,1108753,1381142,1148958,1271141,1086404
10,SC,435670,463191,340038,363353,294777
11,TN,1219276,1556122,1613939,1836511,1116325
12,TX,8949129,3759741,3662471,5587054,7392949
