,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,233470,233470,75650,20119,231702,8223,315,1108,241348
1,AR,682107,682023,422833,57588,681667,65595,205,1520,748987
2,AZ & NM,20004,20004,11803,29408,20004,61858,2576,1799,86237
3,CA,67053,67053,38094,8088,67053,57835,3029,3365,131282
4,GA,442773,440192,89864,50301,438019,78499,5881,2822,525221
5,KS & OK,113301,113301,28770,3128,112861,4022,482,833,118198
6,LA,183016,183016,118501,15865,181958,2425,114,1270,185767
7,MO,131656,131656,73520,12523,131568,12787,47,208,144610
8,MS,499482,498866,383817,36443,499210,38703,1354,3087,542354
9,NC & VA,241568,241482,76587,47642,238886,70942,3185,2418,315431
10,SC,43744,43476,18841,13677,43739,16318,254,526,60837
11,TN,473601,469983,281583,86899,469444,112875,1577,1830,585726
12,TX,1957225,1899259,494520,279062,1616170,282705,18856,38735,1956466
13,--TOTAL,5089000,5023781,2114383,660743,4732281,812787,37875,59521,5642464
