,Region,2021,2022,2023,2024,2025
0,AL & FL,677908,860376,743114,711982,606750
1,AR,1204561,1369496,1161719,1634263,1307245
2,AZ & NM,370474,362287,279292,323091,256915
3,CA,274287,320726,203241,284021,295447
4,GA,2677034,3230954,2424705,2337199,2166242
5,KS & OK,790671,426035,389846,482272,679735
6,LA,255930,413375,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1045087,1255888,938435,1167979,845786
9,NC & VA,976152,1263216,957263,1073134,917239
10,SC,396999,439236,315694,324776,283394
11,TN,1132076,1403972,1379646,1545291,919563
12,TX,8099457,3434492,3092907,4709022,5975453
