,Region,2021,2022,2023,2024,2025
0,AL & FL,121271,290319,261885,299082,213737
1,AR,444346,530661,623130,777624,625837
2,AZ & NM,37271,38978,30731,31332,18594
3,CA,75119,77757,31234,57403,62204
4,GA,360453,775219,432243,418458,401605
5,KS & OK,145081,72391,85662,106479,100040
6,LA,152726,322416,214914,274706,170232
7,MO,93976,152473,149986,188643,121620
8,MS,367932,675195,599511,717234,460517
9,NC & VA,276573,392728,239144,233579,212372
10,SC,78358,113533,60143,80217,38923
11,TN,356517,497034,588906,695265,434259
12,TX,2454332,1494217,1374736,1976876,1839646
