,Region,2021,2022,2023,2024,2025
0,AL & FL,671365,845831,742100,700328,603864
1,AR,1187097,1326526,1145679,1617542,1272534
2,AZ & NM,337624,316221,271124,296807,234398
3,CA,271329,314152,202043,277932,280307
4,GA,2599394,3122836,2349716,2204044,2056891
5,KS & OK,750037,422188,387261,470613,636787
6,LA,255924,408461,244549,379248,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1021578,1253209,931746,1158466,809074
9,NC & VA,965012,1237298,947676,1020934,887410
10,SC,395644,434470,315042,321634,278777
11,TN,1111853,1360955,1337272,1495488,866969
12,TX,7843936,3377511,3067065,4536853,5717325
