,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,404141,404141,131159,34521,391023,6458,315,1108,398904
1,AR,993129,992705,810663,42622,980159,37267,205,1520,1019151
2,AZ & NM,57815,57815,28911,12985,57815,46282,2475,1750,108322
3,CA,123048,123048,89159,7292,122874,50428,3029,3365,179696
4,GA,877163,869220,203741,93182,861227,59485,5616,2815,929143
5,KS & OK,220298,220298,48682,7704,216397,2797,469,654,220317
6,LA,238688,238688,175216,17331,225937,1809,114,1270,229130
7,MO,208003,208003,163693,9000,206508,8171,37,199,214915
8,MS,649568,646825,576711,21203,633800,21488,386,3029,658703
9,NC & VA,488946,488860,186264,46724,477241,47973,3112,2413,530739
10,SC,103103,102835,60517,8047,102670,8678,247,526,112121
11,TN,674023,664878,541796,55090,657879,66896,1477,1811,728063
12,TX,2933382,2833719,748325,277322,2395001,236761,18791,38693,2689246
13,--TOTAL,7971307,7851035,3764837,633023,7328531,594493,36273,59153,8018450
