,Region,2021,2022,2023,2024,2025
0,AL & FL,609587,762694,695005,674768,570387
1,AR,1125131,1181946,1119009,1466317,1219790
2,AZ & NM,232538,212279,189930,191620,148342
3,CA,255461,274412,188852,237226,230293
4,GA,2069847,2617416,1940426,1784071,1677254
5,KS & OK,556224,336738,347594,397655,450343
6,LA,255605,398317,244520,377589,264248
7,MO,288476,362825,359420,366703,302203
8,MS,933112,1237013,928326,1133337,737435
9,NC & VA,910914,1140336,891813,941004,795364
10,SC,313121,358525,268825,281638,239059
11,TN,1033290,1230084,1226991,1398283,800370
12,TX,6404586,3041182,2906985,3989926,4617525
