,Region,2021,2022,2023,2024,2025
0,AL & FL,691631,868461,756052,716961,607982
1,AR,1226367,1419735,1213622,1670011,1319443
2,AZ & NM,385841,381385,294440,331257,270106
3,CA,276743,323476,203807,285359,304734
4,GA,2824093,3344331,2524889,2500227,2346522
5,KS & OK,826216,449571,390598,503602,744976
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1092074,1261757,963368,1202488,892436
9,NC & VA,1015235,1300074,1035269,1140514,977307
10,SC,400590,439935,322300,333106,290123
11,TN,1148283,1469399,1432472,1639131,966045
12,TX,8380555,3511213,3186905,4976392,6234494
