,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,353141,353141,111492,30571,342752,6906,315,1108,351081
1,AR,908342,908258,700359,48260,901139,42420,205,1520,945284
2,AZ & NM,46295,46295,23258,16132,46295,49429,2475,1750,99949
3,CA,105853,105853,79775,5783,105679,51734,3029,3365,163807
4,GA,735492,730223,181523,83638,723075,66031,5877,2822,797805
5,KS & OK,187446,187446,40188,5900,184523,3217,469,825,189034
6,LA,222178,222178,163458,17419,212716,1897,114,1270,215997
7,MO,184790,184790,135634,10580,183998,9224,37,199,193458
8,MS,614905,613749,521102,26671,604424,24479,386,3029,632318
9,NC & VA,411125,411039,153043,45945,400681,53182,3183,2413,459459
10,SC,80706,80438,46710,10711,80322,11368,254,526,92470
11,TN,631028,623037,476891,66710,619213,77131,1577,1830,699751
12,TX,2640159,2551245,687279,273101,2161629,242070,18792,38693,2461184
13,--TOTAL,7121460,7017692,3320712,641421,6566446,639088,36713,59350,7301597
