,Region,2021,2022,2023,2024,2025
0,AL & FL,716618,880891,769620,719602,618682
1,AR,1242564,1457572,1257486,1701162,1334892
2,AZ & NM,389489,390447,297571,334174,276273
3,CA,276752,323516,204497,285457,304939
4,GA,2969839,3425970,2618234,2649372,2457529
5,KS & OK,830041,471896,399866,531224,788387
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1146408,1282952,1024072,1256806,938576
9,NC & VA,1064495,1348451,1097034,1188451,1043603
10,SC,412273,444950,328442,340405,292213
11,TN,1153337,1510966,1506589,1694681,994188
12,TX,8569245,3584864,3382826,5176216,6557452
