,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,7548,41118,93941,827,304,1060,96132
1,AR,1349264,1240091,75525,166201,322073,3089,118,754,326034
2,AZ & NM,278895,271867,89457,9319,119413,6372,1611,1194,128590
3,CA,304939,304939,66825,8233,95834,18880,1936,1062,117712
4,GA,2628977,1798901,23178,146884,276100,14296,1366,2613,294375
5,KS & OK,835867,760012,13756,87095,137856,257,60,231,138404
6,LA,264630,264278,4093,14593,24746,274,105,542,25667
7,MO,320299,320299,37486,32927,86488,430,15,129,87062
8,MS,1052152,699823,27289,138357,252131,1514,375,1003,255023
9,NC & VA,1086494,836142,21659,86517,240659,5058,2127,1869,249713
10,SC,294777,275088,3153,28334,61450,378,164,445,62437
11,TN,1116595,850589,181548,121004,392003,7999,449,675,401126
12,TX,7398372,5208121,155626,395694,1379285,53172,15633,29945,1478035
13,--TOTAL,17563512,13429989,707143,1276276,3481979,112546,24263,41522,3660310
