,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,23489,0,36343,561,1167,38071
1,AR,0,0,0,84740,0,193553,392,1663,195608
2,AZ & NM,0,0,0,15765,0,118565,3762,2122,124449
3,CA,0,0,0,5424,0,81548,3312,3517,88377
4,GA,0,0,79,103753,0,195952,6390,2866,205208
5,KS & OK,0,0,0,948,0,7429,525,834,8788
6,LA,0,0,0,5396,0,9674,135,1270,11079
7,MO,0,0,0,11531,0,37470,49,383,37902
8,MS,0,0,0,154377,0,217179,1829,3129,222137
9,NC & VA,0,0,0,133581,0,214400,3564,2731,220695
10,SC,0,0,0,17241,0,38746,346,527,39619
11,TN,34,34,9958,125647,34,331222,1789,2856,335901
12,TX,378104,378104,106594,140577,375806,572039,20218,40328,1008391
13,--TOTAL,378138,378138,116631,822469,375840,2054120,42872,63393,2536225
