,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,279981,279981,82368,27544,275126,7520,315,1108,284069
1,AR,773661,773577,539820,57794,771993,56093,205,1520,829811
2,AZ & NM,29494,29494,16059,21086,29494,55599,2576,1775,89444
3,CA,85004,85004,59497,6662,85002,54260,3029,3365,145656
4,GA,560478,557538,122058,71543,552931,75175,5877,2822,636805
5,KS & OK,140556,140556,35021,3412,139504,3852,476,833,144665
6,LA,200826,200826,138473,17809,196331,2161,114,1270,199876
7,MO,153136,153136,101050,12355,153048,11477,47,208,164780
8,MS,556845,556229,450540,32846,552084,30965,1354,3087,587490
9,NC & VA,312600,312514,108588,51249,308201,62332,3185,2413,376131
10,SC,55667,55399,30607,13059,55616,14501,254,526,70897
11,TN,540820,535144,361448,82139,533128,99877,1577,1830,636412
12,TX,2250856,2176937,580245,277827,1843587,259040,18843,38723,2160193
13,--TOTAL,5939924,5856335,2625774,675325,5496045,732852,37852,59480,6326229
