,Region,2021,2022,2023,2024,2025
0,AL & FL,2471,50384,34522.0,52995,41633
1,AR,41953,127987,174258.0,261042,154992
2,AZ & NM,10553,16905,10332.0,15986,6720
3,CA,5284,3633,,900,2372
4,GA,15538,101671,32540.0,22977,70962
5,KS & OK,8485,4166,803.0,4586,6420
6,LA,20151,132578,108254.0,109845,69127
7,MO,2316,31896,26013.0,46306,11289
8,MS,18902,208821,143649.0,248576,104798
9,NC & VA,17514,29264,3254.0,2930,5727
10,SC,2223,13444,1614.0,2494,1178
11,TN,15043,90085,103619.0,176132,62884
12,TX,1010900,1140954,1006926.0,1131468,1009022
