,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,632251,599839,6312,35647,83348,827,304,1060,85539
1,AR,1349264,1240091,68489,140543,285208,3089,118,754,289169
2,AZ & NM,278895,271867,87910,5005,112845,6033,1416,1120,121414
3,CA,304939,304939,52777,21005,89230,18278,1936,1062,110506
4,GA,2636191,1798901,20380,120675,219388,14088,1329,2550,237355
5,KS & OK,836921,760012,11681,42596,84227,216,60,231,84734
6,LA,264630,264278,2044,12858,19982,274,105,542,20903
7,MO,320299,320299,33322,27097,75579,430,15,129,76153
8,MS,1062042,699823,24998,132976,224414,1514,375,1003,227306
9,NC & VA,1088007,836142,18330,83914,212858,4197,1724,1826,220605
10,SC,294777,275088,2820,17617,45851,331,164,445,46791
11,TN,1117039,850589,163957,95218,334139,7951,449,675,343214
12,TX,7442104,5208121,129496,320326,1183385,45792,15499,29839,1274515
13,--TOTAL,17627359,13429989,622516,1055477,2970454,103020,23494,41236,3138204
