,Region,2021,2022,2023,2024,2025
0,AL & FL,690494,868453,755435,716786,607982
1,AR,1225320,1416382,1207873,1663360,1319435
2,AZ & NM,384346,379954,293098,331058,269906
3,CA,276743,323476,203807,285359,304734
4,GA,2810238,3335209,2515297,2483105,2340431
5,KS & OK,823057,447301,390598,501403,743852
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1090467,1260614,957508,1199891,891556
9,NC & VA,1013386,1297993,1027460,1134824,973509
10,SC,400328,439935,321955,332238,290123
11,TN,1147924,1466634,1429352,1632642,963898
12,TX,8368048,3506318,3177490,4954769,6225106
