,Region,2021,2022,2023,2024,2025
0,AL & FL,31831,161296,129816,156143,126086
1,AR,230925,324119,413926,499265,389534
2,AZ & NM,17255,24457,19043,22715,11628
3,CA,31901,28353,7712,15826,21900
4,GA,124591,355901,167702,142967,174780
5,KS & OK,61745,29221,36816,41912,45331
6,LA,78700,234665,181795,191451,125575
7,MO,45468,88347,90792,112834,68382
8,MS,174480,454459,385393,465057,301087
9,NC & VA,118138,197969,69898,46706,72052
10,SC,31533,56293,21885,28165,13389
11,TN,160196,284193,350956,397542,264369
12,TX,1587060,1292733,1181151,1474970,1353918
