,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,213737,213737,65431,19498,212321,8484,315,1108,222228
1,AR,625837,625753,391142,39184,625749,67003,205,1520,694477
2,AZ & NM,18594,18594,11278,29769,18594,63792,2576,1799,86761
3,CA,62204,62204,30307,8527,62204,58274,3029,3365,126872
4,GA,401605,399203,81108,45013,399043,79561,5881,2822,487307
5,KS & OK,100040,100040,27315,3565,100040,4022,482,833,105377
6,LA,170232,170232,113528,15161,169614,2425,114,1270,173423
7,MO,121620,121620,60113,5700,121620,12875,47,208,134750
8,MS,460517,460429,349655,34518,460422,39267,1354,3087,504130
9,NC & VA,212372,212286,69969,49064,210075,73736,3185,2418,289414
10,SC,38923,38831,12632,13858,38918,16762,254,526,56460
11,TN,434259,430821,251746,69475,430610,116751,1577,1831,550769
12,TX,1839646,1783120,455254,268718,1514257,285507,18860,38735,1857359
13,--TOTAL,4699586,4636870,1919478,602050,4363467,828459,37879,59522,5289327
