,Region,2021,2022,2023,2024,2025
0,AL & FL,727452,888363,775790,720219,626172
1,AR,1259473,1471562,1262793,1722140,1338556
2,AZ & NM,390213,393245,300943,336017,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3086737,3491345,2687990,2739250,2530937
5,KS & OK,830566,479704,406242,539317,821160
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1173875,1310214,1038649,1319296,990227
9,NC & VA,1079352,1362484,1124508,1218159,1071176
10,SC,421264,451769,335811,347554,293682
11,TN,1177477,1529781,1552535,1713218,1015399
12,TX,8736334,3632472,3458156,5327865,6833590
