,Region,2021,2022,2023,2024,2025
0,AL & FL,636148,789850,725822,683746,581578
1,AR,1144268,1232226,1136158,1535317,1241415
2,AZ & NM,252251,239260,219033,210521,170235
3,CA,265645,287995,196358,252920,245166
4,GA,2231920,2798223,2106197,1931442,1802615
5,KS & OK,611698,373593,367869,430302,505001
6,LA,255700,398350,244549,379169,264248
7,MO,299008,388401,368465,378206,314403
8,MS,950983,1243317,930302,1144538,758331
9,NC & VA,934708,1180815,923095,979176,826081
10,SC,333349,383863,285586,299506,256041
11,TN,1058438,1281023,1265244,1425420,821425
12,TX,6814213,3165741,2975731,4192735,5003565
