,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,5571,26427,62324,669,502,666,64161
1,AR,1740706,1582512,133436,80531,309775,515,955,753,311998
2,AZ & NM,339115,331915,106265,6954,141867,3950,2546,493,148856
3,CA,285457,285457,76616,6160,102604,3954,2529,1179,110266
4,GA,2903652,1949409,35045,115079,288016,8510,1230,1814,299570
5,KS & OK,541150,425132,2792,1679,18929,572,829,440,20770
6,LA,379254,379254,9586,7202,21278,295,825,549,22947
7,MO,388113,388113,46095,8447,63590,67,159,250,64066
8,MS,1434499,1104908,68964,135701,336753,1389,2314,904,341360
9,NC & VA,1275700,1002859,49026,105107,332634,3842,1722,1048,339246
10,SC,363603,321249,16712,28174,70765,355,194,333,71647
11,TN,1856494,1410500,192344,118191,457451,2224,648,2550,462873
12,TX,5615642,4025555,208888,160151,780070,20966,19449,21496,841981
13,--TOTAL,17844228,13913009,951340,799803,2986056,47308,33902,32475,3099741
