,Region,2021,2022,2023,2024,2025
0,AL & FL,621256,777696,711673,678154,572807
1,AR,1136287,1201498,1131773,1492802,1220693
2,AZ & NM,238754,218971,201294,196121,151082
3,CA,260373,279050,193773,242277,231938
4,GA,2135756,2698581,2025406,1834393,1700855
5,KS & OK,582959,351813,361097,409684,468074
6,LA,255637,398350,244520,377589,264248
7,MO,294681,375553,363843,368367,307703
8,MS,937348,1239087,930213,1136418,741461
9,NC & VA,922883,1161502,905922,955535,800715
10,SC,321426,364338,276056,288826,242537
11,TN,1044519,1250309,1250397,1407578,806526
12,TX,6594795,3105611,2945478,4076821,4732523
