,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,529493,529229,178864,85087,490770,4620,315,1104,496809
1,AR,1179831,1174634,1006620,69845,1139173,21174,172,1520,1162039
2,AZ & NM,107693,107693,57895,17024,107693,35860,2386,1672,147611
3,CA,189248,189248,146248,11846,186315,42207,3029,3365,234916
4,GA,1384236,1348710,314947,232739,1310206,49105,5092,2861,1367264
5,KS & OK,361843,360969,58586,37859,343780,2070,188,564,346602
6,LA,262368,262368,195471,25719,230302,1075,114,1270,232761
7,MO,271641,271641,209552,20561,262395,4768,37,199,267399
8,MS,705662,693558,568268,44043,656134,13901,374,3026,673435
9,NC & VA,732903,728817,268188,94439,692247,29281,3110,2412,727050
10,SC,194399,193074,113350,23425,190986,4027,229,524,195766
11,TN,765938,751808,650437,48643,730670,40764,1445,1785,774664
12,TX,4003275,3849697,1196229,365984,3233889,193041,18768,38346,3484044
13,--TOTAL,10688530,10461446,4964655,1077214,9574560,441893,35259,58648,10110360
