,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889856,777548,720219,626436
1,AR,1263690,1475608,1266580,1728047,1340346
2,AZ & NM,390213,394725,301378,336203,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3110937,3527705,2712146,2775650,2569387
5,KS & OK,830571,486717,406325,540371,826564
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1180223,1323179,1041223,1353735,1009299
9,NC & VA,1085519,1367728,1129350,1234434,1074855
10,SC,425325,453735,337129,352429,293770
11,TN,1184062,1531627,1573243,1725689,1035395
12,TX,8781969,3662862,3502959,5405488,6967379
