,Region,2021,2022,2023,2024,2025
0,AL & FL,16209,114376,78998,117315,92819
1,AR,145744,227925,304442,420334,302161
2,AZ & NM,13531,20972,14047,20818,9620
3,CA,20299,15550,2700,5497,10159
4,GA,67287,216063,82365,82202,125482
5,KS & OK,35458,16025,17087,25882,24461
6,LA,50117,189877,150426,166233,102437
7,MO,25950,61626,63019,88786,44617
8,MS,102921,341266,264210,399111,220187
9,NC & VA,63865,113930,27178,17846,30691
10,SC,15760,37596,6722,15300,8034
11,TN,86591,190776,235457,326401,184545
12,TX,1324990,1228990,1076603,1342981,1191048
