,Region,2021,2022,2023,2024,2025
0,AL & FL,50101,190018,158081,189448,152950
1,AR,278428,353690,467089,590478,460447
2,AZ & NM,20638,25082,20043,25003,13057
3,CA,38894,29841,9097,29264,26376
4,GA,167815,422996,210644,208032,233179
5,KS & OK,76867,37144,41876,58839,58573
6,LA,92848,242561,190244,219814,139227
7,MO,56409,100108,105302,133192,81284
8,MS,210447,480974,428753,552206,346464
9,NC & VA,152212,231257,100486,91865,105054
10,SC,38565,65799,26729,43418,20458
11,TN,203826,309122,405870,484664,317230
12,TX,1746215,1314989,1210131,1618068,1462418
