,Region,2021,2022,2023,2024,2025
0,AL & FL,594184,753326,693217,667006,562768
1,AR,1110216,1167248,1112891,1428353,1212615
2,AZ & NM,221608,201652,184858,173028,135963
3,CA,244901,269805,185098,228324,217649
4,GA,1968686,2544000,1898538,1722480,1596206
5,KS & OK,534113,325212,341545,383841,423493
6,LA,255565,398213,244520,377552,264229
7,MO,279760,352158,356249,363002,295709
8,MS,925863,1236211,927971,1131129,724793
9,NC & VA,901741,1119954,881504,917611,785311
10,SC,302215,337839,265880,275405,228592
11,TN,1021928,1216869,1220972,1383584,784609
12,TX,6243510,2990803,2888461,3912906,4462112
