,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720219,705962,35958,89566,177468,778,624,682,179552
1,AR,1718928,1582512,354571,229341,659208,1551,1073,781,662613
2,AZ & NM,336017,331798,129700,14762,187781,4624,2598,501,195504
3,CA,285457,285457,113684,3861,145226,4203,2751,1212,153392
4,GA,2732148,1949408,89270,416603,694041,10505,1385,1838,707769
5,KS & OK,538902,425132,11408,93996,166623,760,833,440,168656
6,LA,379254,379254,37679,19715,71577,387,858,549,73371
7,MO,388113,388113,80072,40686,130537,69,247,250,131103
8,MS,1312320,1104908,257069,215793,556381,7871,2541,905,567698
9,NC & VA,1215589,1002513,93707,168936,538613,6413,2125,1047,548198
10,SC,346498,321234,37648,60609,128929,592,199,369,130089
11,TN,1710574,1410498,389416,248176,812371,3886,869,2632,819758
12,TX,5306888,4025462,303271,331152,1227636,26340,20329,21707,1296012
13,--TOTAL,16990907,13912251,1933453,1933196,5496391,67979,36432,32913,5633715
