,Region,2021,2022,2023,2024,2025
0,AL & FL,716618,882207,769620,719602,619386
1,AR,1243782,1458356,1257486,1701162,1334892
2,AZ & NM,390032,390887,297571,334174,276273
3,CA,276752,323516,204497,285457,304939
4,GA,2970878,3428449,2618234,2649372,2460646
5,KS & OK,830134,472771,399866,531224,792150
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382222,388113,320299
8,MS,1148734,1285175,1024072,1256806,942067
9,NC & VA,1065477,1350648,1097034,1188451,1044562
10,SC,413071,445383,328442,340405,292213
11,TN,1155435,1512611,1506589,1694858,995338
12,TX,8577210,3587521,3382826,5176216,6564549
