,Region,2021,2022,2023,2024,2025
0,AL & FL,298592,482350,439954,475849,388155
1,AR,759371,796661,859702,1075008,978057
2,AZ & NM,92633,83832,69630,65390,53688
3,CA,152337,154305,95195,119403,118577
4,GA,882996,1382582,936117,893748,844697
5,KS & OK,281768,161977,180337,199128,213908
6,LA,225137,370473,236603,343474,235195
7,MO,162273,230227,224996,280208,203840
8,MS,673448,969565,817733,964038,643460
9,NC & VA,543066,682585,509589,522710,471371
10,SC,160443,185302,127706,157725,98014
11,TN,674664,779688,889257,1045348,664724
12,TX,3862513,2019397,1997799,2603277,2869605
