,Region,2021,2022,2023,2024,2025
0,AL & FL,311632,493597,465036,497955,404141
1,AR,779303,816281,899757,1113240,993129
2,AZ & NM,95168,86416,73922,71257,57815
3,CA,155621,157910,100794,129518,123048
4,GA,919455,1415492,1011417,957518,878245
5,KS & OK,295345,167751,190894,213989,223568
6,LA,226218,370473,239357,347410,238688
7,MO,168358,236220,242666,288519,208484
8,MS,680223,979103,840757,995787,649568
9,NC & VA,563718,701088,550920,565368,493881
10,SC,163224,188716,142151,169750,103346
11,TN,698526,788744,933417,1091151,674774
12,TX,3982354,2061190,2093811,2703110,2960017
