,Region,2021,2022,2023,2024,2025
0,AL & FL,728245,890208,777548,720579,626436
1,AR,1264394,1476825,1267020,1731762,1343481
2,AZ & NM,390229,394725,301378,336203,276543
3,CA,276933,323517,204697,285457,304939
4,GA,3130872,3551697,2722038,2814736,2582656
5,KS & OK,830571,488653,406675,540974,827998
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1183177,1333463,1047795,1372410,1016265
9,NC & VA,1090246,1376022,1132488,1242116,1078245
10,SC,427809,455866,337649,358905,294689
11,TN,1184833,1533703,1582044,1743150,1053678
12,TX,8818577,3687968,3523540,5439788,7051371
