,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,617002,599839,9833,130000,246312,1610,307,1066,249295
1,AR,1332559,1240091,133717,335105,772208,6064,162,1501,779935
2,AZ & NM,274166,271867,107672,63692,203107,9163,1641,1666,215577
3,CA,304939,304939,141294,24495,203079,25697,2805,2007,233588
4,GA,2427221,1798729,24735,552197,866006,25806,4884,2674,899370
5,KS & OK,776216,730149,66910,193194,396326,833,127,339,397625
6,LA,264630,264278,5774,46535,85091,362,112,1240,86805
7,MO,320299,320299,51012,73264,175381,552,37,135,176105
8,MS,923460,699796,54896,163631,460883,2697,364,2008,465952
9,NC & VA,1029505,835179,24003,156704,453631,8787,2604,1993,467015
10,SC,292128,274018,2373,85545,166234,1353,166,489,168242
11,TN,988054,850535,208049,217396,658728,11112,1605,1736,673181
12,TX,6452594,5205028,480990,1051853,2816941,96712,17574,31918,2963145
13,--TOTAL,16002773,13394747,1311258,3093611,7503927,190748,32388,48772,7775835
