,Region,2021,2022,2023,2024,2025
0,AL & FL,670203,844830,742044,698059,602382
1,AR,1183960,1325037,1143345,1613968,1266127
2,AZ & NM,332508,315520,268659,282874,229336
3,CA,271244,313057,201562,275743,272456
4,GA,2579622,3108624,2339128,2172295,2029910
5,KS & OK,746659,421313,387136,468479,621679
6,LA,255924,407757,244549,379220,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1019017,1253209,931658,1157494,798439
9,NC & VA,960320,1234738,947240,1014359,878197
10,SC,393211,434370,315042,319807,278689
11,TN,1111496,1358588,1329309,1478612,858802
12,TX,7815953,3370030,3065272,4486174,5601681
