,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,24999,0,48162,330,1035,49527
1,AR,0,0,0,93875,0,192594,1430,839,194863
2,AZ & NM,0,0,0,10802,0,87262,5275,2247,94784
3,CA,0,0,0,13559,0,56934,14668,2368,73970
4,GA,1,1,0,71380,1,145259,6152,3614,155026
5,KS & OK,0,0,0,4741,0,21244,102,222,21568
6,LA,1743,1743,0,7283,1743,9489,274,630,12136
7,MO,0,0,0,12797,0,47816,160,144,48120
8,MS,0,0,0,64736,0,120536,781,1243,122560
9,NC & VA,0,0,0,71618,0,146557,3655,3502,153714
10,SC,0,0,0,14216,0,29801,312,605,30718
11,TN,0,0,0,77296,0,234421,3947,921,239289
12,TX,375302,374670,54253,175089,369538,718555,28817,39688,1156598
13,--TOTAL,377046,376414,54253,642391,371282,1858630,65903,57058,2352873
