,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,22530,24084,82000,708,546,666,83920
1,AR,1737237,1582512,305175,75197,417171,1530,1069,781,420551
2,AZ & NM,339115,331915,121602,7726,156996,3950,2547,493,163986
3,CA,285457,285457,96945,6407,122310,4033,2668,1202,130213
4,GA,2883826,1949409,104240,143032,392086,9702,1251,1812,404851
5,KS & OK,541150,425132,4691,5962,30510,646,829,440,32425
6,LA,379254,379254,23240,10894,37257,299,825,549,38930
7,MO,388113,388113,63946,11993,80231,67,159,250,80707
8,MS,1415860,1104908,246814,114182,419307,6786,2381,904,429378
9,NC & VA,1266727,1002859,100431,82941,391698,4274,1712,1043,398727
10,SC,363003,321249,44848,24996,89816,370,194,333,90713
11,TN,1823936,1410500,295945,156868,598667,3184,768,2640,605259
12,TX,5559071,4025555,263559,147736,913102,23383,19788,21661,977934
13,--TOTAL,17703592,13913009,1693966,812018,3731151,58932,34737,32774,3857594
