,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,23394,30631,90889,709,546,666,92810
1,AR,1734455,1582512,318806,103749,462873,1533,1069,781,466256
2,AZ & NM,339115,331915,122294,9910,162016,3950,2547,493,169006
3,CA,285457,285457,100929,7960,130134,4203,2751,1212,138300
4,GA,2868567,1949409,104799,178722,434542,10012,1256,1815,447625
5,KS & OK,541150,425132,6653,14708,55039,648,831,440,56958
6,LA,379254,379254,26688,12539,44329,387,825,549,46090
7,MO,388113,388113,66790,16833,89441,67,159,250,89917
8,MS,1407899,1104908,257262,133474,451694,7312,2381,904,462291
9,NC & VA,1261427,1002773,98237,94868,414870,5144,1713,1047,422774
10,SC,362460,321249,44710,34997,102037,382,194,333,102946
11,TN,1803735,1410500,304954,180403,636907,3182,768,2640,643497
12,TX,5525084,4025555,267199,162394,955614,24205,19807,21684,1021310
13,--TOTAL,17617559,13912923,1742715,981188,4030385,61734,34847,32814,4159780
